h_accession,tax_phylum
AAHDWM010000045,Pseudomonadota
AAWE01000022,Pseudomonadota
AAWG02000035,Pseudomonadota
AAWQ01000044,Pseudomonadota
ACHY01000008,Pseudomonadota
ADAF01000001,Pseudomonadota
AFBW01000022,Pseudomonadota
AJYR02000281,Pseudomonadota
AJYX02000036,Pseudomonadota
ALED01000019,Pseudomonadota
AP019537,Pseudomonadota
AVPX01000004,Pseudomonadota
AXDR01000001,Pseudomonadota
CP000503,Pseudomonadota
CP000820,Actinomycetota
CP002447,Pseudomonadota
CP002457,Pseudomonadota
CP002801,Actinomycetota
CP002802,Actinomycetota
CP002888,Bacillota
CP009261,Pseudomonadota
CP009913,Bacillota
CP012950,Pseudomonadota
CP014144,Bacillota
CP015282,Bacillota
CP015283,Bacillota
CP020076,Pseudomonadota
CP020451,Bacillota
CP024082,Pseudomonadota
CP024198,Pseudomonadota
CP028355,Pseudomonadota
CP028481,Pseudomonadota
CP040804,Bacillota
CP041202,Pseudomonadota
CP044437,Pseudomonadota
CP048406,Pseudomonadota
CT573213,Actinomycetota
DLYU01000068,Pseudomonadota
DPPI01000112,Pseudomonadota
DS990138,Pseudomonadota
FONF01000016,Pseudomonadota
FOSC01000007,Pseudomonadota
FR873481,Bacillota
FR873482,Bacillota
JALH01003260,Pseudomonadota
JIDP01000011,Pseudomonadota
JNTL02000015,Pseudomonadota
JQ345361,Pseudomonadota
JZAN01000045,Pseudomonadota
LKHR01000095,Pseudomonadota
LOBQ01000018,Pseudomonadota
LR134303,Pseudomonadota
LRFW01000016,Pseudomonadota
LRFX01000038,Pseudomonadota
LSRT01000105,Pseudomonadota
LVCX01000030,Pseudomonadota
LVIC01000012,Pseudomonadota
MF490433,Pseudomonadota
MIPA01000024,Pseudomonadota
MIRT01000034,Pseudomonadota
MITX01000042,Pseudomonadota
MKQU01000013,Pseudomonadota
MKQV01000065,Pseudomonadota
NC_000964,Bacillota
NC_002758,Bacillota
NC_002942,Pseudomonadota
NC_002951,Bacillota
NC_002952,Bacillota
