ICE_IME_id	ICE_IME_id_need_manual_curation	Segment_number	Comments_ICE_IME_structure	Is_hit_blast	Is_hit_HMM	CDS_num	Genome_accession	Genome_accession_rank	CDS_locus_tag	CDS_protein_id	CDS_strand	CDS_start	CDS_end	CDS_length	Is_pseudo	CDS_Protein_type	CDS_Protein_type_blast	Description_of_blast_most_similar_ref_SP	Id_of_blast_most_similar_ref_SP	Length_of_blast_most_similar_ref_SP	Blast_ali_length	Blast_ali_start_CDS	Blast_ali_end_CDS	Blast_ali_start_Query_blast	Blast_ali_end_Query_blast	Blast_ali_identity_perc	Blast_ali_E-value	Blast_ali_bitscore	CDS_coverage_blast	Blast_ali_coverage_most_similar_ref_SP	Protein_type_of_blast_most_similar_ref_SP	Associated_element_type_of_blast_most_similar_ref_SP	ICE_superfamily_of_most_similar_ref_SP	ICE_family_of_most_similar_ref_SP	IME_superfamily_of_most_similar_ref_SP	Relaxase_family_domain_of_most_similar_ref_SP	Relaxase_family_MOB_of_most_similar_ref_SP	Coupling_type_of_most_similar_ref_SP	False_positives	SP_blast_validation	Use_annotation	Protein_type_of_matching_HMM_profile	Description_of_matching_HMM_profile	Profile_name	Length_of_matching_HMM_profile	HMM_ali_i-Evalue	HMM_ali_E-value	HMM_ali_Score	HMM_ali_Bias	HMM_ali_Global_score	HMM_ali_Global_bias	HMM_coverage	CDS_coverage_hmm
ID_1		1		1	1	213	NC_004368.1	1	GBS_RS01330	WP_000022172.1	-	232896	234050	384	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	CAD45856	384	384	1	384	1	384	100.0	0.0	800.0	100.0	100.0	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172.0	9.500000000000001e-30	4.1e-30	89.8	0.1	91.0	0.3	97.09	50.0
ID_1		1		1	0	219	NC_004368.1	1	GBS_RS01365	-	+	236827	237683	285	Pseudo	Relaxase	Relaxase	Relaxase MOBT (PF02486)	CAD45862	262	262	1	262	1	262	99.62	0.0	536.0	91.93	100.0	Relaxase	IME	-	-	PF01076+PF02486	PF02486	MOBT	-	-	validated	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ID_1		1		1	1	221	NC_004368.1	1	GBS_RS01375	WP_000122836.1	+	238470	239726	418	-	Relaxase	Relaxase	Relaxase MOBV (PF01076)	CAD45864	418	418	1	418	1	418	100.0	0.0	850.0	100.0	100.0	Relaxase	IME	-	-	PF01076+PF02486	PF01076	MOBV	-	-	validated	yes	Relaxase	MOBV	T4SS_MOBV	204.0	6.299999999999999e-69	6.299999999999999e-69	218.2	7.6	218.2	7.6	97.55	47.13
ID_2		1	Downstream integrase GBS_RS01555 is NOT significantly further away to ICE/IME structure ID_1 (18 CDSs, higher cutoff is 40 CDSs) than upstream integrase GBS_RS01330 (6 CDSs, lower cutoff is 20 CDSs). 	1	1	239	NC_004368.1	1	GBS_RS01555	WP_001007681.1	-	258657	259790	377	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	CAD45882	377	377	1	377	1	377	100.0	0.0	766.0	100.0	100.0	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172.0	5.2000000000000004e-30	2.5000000000000002e-30	90.6	0.9	91.6	0.9	97.09	48.81
ID_2		1		1	1	243	NC_004368.1	1	GBS_RS01575	WP_000767014.1	-	261388	262746	452	-	Coupling protein	Coupling protein	Coupling protein TcpA	CAD45886	452	452	1	452	1	452	100.0	0.0	917.0	100.0	100.0	Coupling protein	IME	-	-	PHA00330	-	-	TcpA	-	validated	yes	Coupling protein	TcpA	tcpA	464.0	1.6e-13	1.2e-13	36.5	0.0	37.0	0.0	51.08	57.52
ID_3		2		1	1	384	NC_004368.1	1	GBS_RS02305	WP_000383377.1	+	397563	399929	788	-	Relaxase	Relaxase	Relaxase MOBL (PF18555)	CAD46654	788	788	1	788	1	788	100.0	0.0	1610.0	100.0	100.0	Relaxase	ICE	TnGBS1	TnGBS1	-	PF18555	MOBL	-	-	validated	yes	Relaxase	MOBL	firmi_MOBL	786.0	0.0	0.0	1570.3	43.2	1570.5	43.2	99.87	99.62
ID_3		2		1	1	396	NC_004368.1	1	GBS_RS02365	WP_000493311.1	+	417367	420516	1049	-	Coupling protein	Coupling protein	Coupling protein VirD4	CAD46642	1049	1049	1	1049	1	1049	100.0	0.0	2172.0	100.0	100.0	Coupling protein	ICE	TnGBS1	TnGBS1	-	-	-	VirD4	-	validated	yes	Coupling protein	VirD4	t4cp2	222.0	4.9000000000000004e-57	2.8e-57	178.8	0.2	179.6	0.2	94.59	34.13
ID_3		2		1	0	402	NC_004368.1	1	GBS_RS02395	WP_001114671.1	+	424908	426857	649	-	VirB4	VirB4	VirB4	CAD46636	649	649	1	649	1	649	100.0	0.0	1336.0	100.0	100.0	VirB4	ICE	TnGBS1	TnGBS1	-	-	-	-	-	validated	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ID_3		2	Downstream integrase GBS_RS02435 has been associated to the structure ID_3 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. 	1	1	410	NC_004368.1	1	GBS_RS02435	WP_000151682.1	+	431161	432489	442	-	DDE transposase	DDE transposase	DDE transposase	CAD46628	442	442	1	442	1	442	100.0	0.0	919.0	100.0	100.0	Integrase	ICE	-	-	-	-	-	-	-	validated	yes	DDE transposase	DDE transposase	UPF0236	479.0	4.600000000000001e-22	3.5000000000000005e-22	64.3	9.1	64.7	9.1	85.18	93.89
ID_4		3		1	0	637	NC_004368.1	1	GBS_RS03620	WP_000061734.1	+	658289	659281	330	-	Coupling protein	Coupling protein	Coupling protein TcpA	CBZ49436	358	189	33	205	122	307	25.93	1.78e-06	42.4	52.42	51.96	Coupling protein	IME	-	-	PF01719	-	-	TcpA	-	validated	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
