i_key,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_sp_subsp,h_strain,h_accession,h_taxID,h_assembly,i_accession,i_name,i_type,i_start,i_end,i_len,i_strand,i_insertion,reference,DOI_PMID,status,source_file,comments,h_gram,h_len
AAHDWM010000045:2..15575,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,235123,AAHDWM010000045,286784,Scaffold,-,GISen235123,IME,2,15575,15573,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,-
AAWE01000022:9090..37305,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,B33,AAWE01000022,417400,Scaffold,-,GI-15,IME,9090,37305,28215,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,42421
AAWG02000035:53015..71372,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,623-39,AAWG02000035,417397,Scaffold,-,GIVch623-39,IME,53015,71372,18357,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,94447
AAWQ01000044:3933..22690,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,AQ3810,AAWQ01000044,419109,Scaffold,-,GIVpaAQ3810,IME,3933,22690,18757,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,30610
ACHY01000008:9862..38091,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,TMA 21,ACHY01000008,593590,Scaffold,-,GIVchBra2,IME,9862,38091,28229,+,dusA,custom: RD,-,-,ref_dataset_proto,-,-,57616
ADAF01000001:2804803..2823224,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio mimicus,MB451,ADAF01000001,675806,Scaffold,-,GIVmiMB451,IME,2804803,2823224,18421,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,2971217
AFBW01000022:49470..68553,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,10329,AFBW01000022,745023,Scaffold,-,GIVpa10329,IME,49470,68553,19083,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,100902
AJYR02000281:22593..47407,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio ordalii,FF-167,AJYR02000281,617131,Scaffold,-,GIVorFF167,IME,22593,47407,24814,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,82655
AJYX02000036:48799..68696,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio kanaloae,5S-149,AJYX02000036,1191299,Scaffold,-,GIVka5S-149,IME,48799,68696,19897,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,100181
ALED01000019:68263..111779,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,HE-45,ALED01000019,991946,Scaffold,-,GIVchHE-45,IME,68263,111779,43516,+,CDS_1,custom: VB,-,-,ref_dataset_proto,-,-,159708
AP019537:3178911..3238067,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter hydrocarbonoclasticus,YB03,AP019537,2743,Nearly complete,-,GIMhyYB03,IME,3178911,3238067,59156,+,yicC,custom: VB,-,-,ref_dataset_proto,-,-,4300401
AVPX01000004:277590..295170,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,NIHCB0757,AVPX01000004,1238215,Scaffold,-,GIVpaBan1b,IME,277590,295170,17580,-,dusA,custom: RD,-,-,ref_dataset_proto,-,-,3378377
AVPX01000004:295150..324587,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,NIHCB0757,AVPX01000004,1238215,Scaffold,-,GIVpaBan1a,IME,295150,324587,29437,-,dusA,custom: RD,-,-,ref_dataset_proto,-,-,3378377
AXDR01000001:22744..42819,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,HC-36A1,AXDR01000001,991934,Scaffold,-,GIVchHC-36A1a,IME,22744,42819,20075,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,145591
AXDR01000001:42802..90238,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,HC-36A1,AXDR01000001,991934,Scaffold,-,GIVchHC-36A1b,IME,42802,90238,47436,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,145591
