ICE_IME_id	ICE_IME_id_need_manual_curation	Segment_number	Comments_ICE_IME_structure	Is_hit_blast	Is_hit_HMM	CDS_num	Genome_accession	Genome_accession_rank	CDS_locus_tag	CDS_protein_id	CDS_strand	CDS_start	CDS_end	CDS_length	Is_pseudo	CDS_Protein_type	CDS_Protein_type_blast	Description_of_blast_most_similar_ref_SP	Id_of_blast_most_similar_ref_SP	Length_of_blast_most_similar_ref_SP	Blast_ali_length	Blast_ali_start_CDS	Blast_ali_end_CDS	Blast_ali_start_Query_blast	Blast_ali_end_Query_blast	Blast_ali_identity_perc	Blast_ali_E-value	Blast_ali_bitscore	CDS_coverage_blast	Blast_ali_coverage_most_similar_ref_SP	Protein_type_of_blast_most_similar_ref_SP	Associated_element_type_of_blast_most_similar_ref_SP	ICE_superfamily_of_most_similar_ref_SP	ICE_family_of_most_similar_ref_SP	IME_superfamily_of_most_similar_ref_SP	Relaxase_family_domain_of_most_similar_ref_SP	Relaxase_family_MOB_of_most_similar_ref_SP	Coupling_type_of_most_similar_ref_SP	False_positives	SP_blast_validation	Use_annotation	Protein_type_of_matching_HMM_profile	Description_of_matching_HMM_profile	Profile_name	Length_of_matching_HMM_profile	HMM_ali_i-Evalue	HMM_ali_E-value	HMM_ali_Score	HMM_ali_Bias	HMM_ali_Global_score	HMM_ali_Global_bias	HMM_coverage	CDS_coverage_hmm
ID_1		1		1	1	55	NZ_LR793256.1	1	HV389_RS00460	WP_004182166.1	-	72014	73147	377	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	CCC18874	377.0	377.0	1.0	377.0	1.0	377.0	95.49	0.0	728.0	100.0	100.0	Integrase	IME	-	-	-	-	-	-	-	validated	yes	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172.0	5.7e-29	2.2e-29	87.2	0.7	88.6	0.7	90.12	45.62
ID_1		1	The now former ICE / IME structure __IMEICEID_BasicEMStructure__4__ (HV389_RS01105) is being merged into the ICE / IME structure ID_1 (HV389_RS00475). 	1	1	58	NZ_LR793256.1	1	HV389_RS00475	WP_004182182.1	-	73794	74990	398	-	Relaxase	Relaxase	Relaxase MOBT (PF02486)	CCC18877	398.0	398.0	1.0	398.0	1.0	398.0	95.98	0.0	788.0	100.0	100.0	Relaxase	IME	-	-	PF02486	PF02486	MOBT	-	-	validated	yes	Relaxase	MOBT	profile_MOBT	392.0	1e-16	6.5e-17	46.7	10.1	47.3	10.1	72.19	69.85
ID_2		1		1	1	89	NZ_LR793256.1	1	HV389_RS00635	WP_145517345.1	-	108050	109267	405	-	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	BAM60428	405.0	404.0	1.0	404.0	1.0	404.0	88.61	0.0	717.0	99.75	99.75	Integrase	ICE	-	-	-	-	-	-	-	validated	yes	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172.0	9.5e-19	2.8e-19	54.0	0.3	55.7	0.3	95.93	46.91
ID_2		1		1	1	95	NZ_LR793256.1	1	HV389_RS00665	WP_175064047.1	-	114304	116808	834	-	VirB4	VirB4	VirB4	CAE52368	834.0	834.0	1.0	834.0	1.0	834.0	98.08	0.0	1698.0	100.0	100.0	VirB4	ICE	Tn916	ICESt3	-	-	-	-	-	validated	yes	VirB4	VirB4	T4SS_virb4	943.0	5.3e-39	2.1e-39	120.1	9.1	121.4	9.1	76.35	97.48
ID_2		1		1	1	102	NZ_LR793256.1	1	HV389_RS00695	WP_175064051.1	-	119228	120460	410	-	Relaxase	Relaxase	Relaxase MOBT (PF02486)	CAE52362	410.0	410.0	1.0	410.0	1.0	410.0	98.54	0.0	841.0	100.0	100.0	Relaxase	ICE	Tn916	ICESt3	-	PF02486	MOBT	-	-	validated	yes	Relaxase	MOBT	profile_MOBT	392.0	7.299999999999999e-53	5.8e-53	165.7	3.6	166.0	3.6	95.66	96.1
ID_2		1		1	1	103	NZ_LR793256.1	1	HV389_RS00700	WP_175064052.1	-	120620	122249	543	-	Coupling protein	Coupling protein	Coupling protein TcpA	CAC67541	562.0	544.0	1.0	543.0	1.0	544.0	95.04	0.0	1044.0	100.0	96.8	Coupling protein	ICE	Tn916	ICESt3	-	-	-	TcpA	-	validated	yes	Coupling protein	TcpA	tcpA	464.0	6e-79	3.5e-79	252.3	6.1	253.1	6.1	83.41	72.19
ID_1		1	The now former ICE / IME structure __IMEICEID_BasicEMStructure__4__ (HV389_RS01105) is being merged into the ICE / IME structure ID_1 (HV389_RS00475). 	0	1	167	NZ_LR793256.1	1	HV389_RS01105	WP_002886432.1	-	214130	214870	246	-	Coupling protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coupling protein	VirD4	t4cp1	110.0	9.6e-06	5.1e-06	12.6	0.0	13.5	0.0	90.91	40.65
		2		1	1	531	NZ_LR793256.1	1	HV389_RS02980	-	+	608062	609287	408	Pseudo	Tyrosine integrase	Tyrosine integrase	Tyrosine integrase	CAZ55861	399.0	376.0	5.0	380.0	6.0	381.0	65.43	0.0	526.0	92.16	94.24	Integrase	ICE	-	-	-	-	-	-	-	validated	yes	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172.0	1.5e-27	9e-28	82.6	0.1	83.3	0.1	94.77	43.63
		3		0	1	1013	NZ_LR793256.1	1	HV389_RS05395	WP_064520782.1	+	1131997	1133256	419	-	Tyrosine integrase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Tyrosine integrase	Tyrosine integrase	Phage_integrase	172.0	7e-10	3.3e-10	25.1	0.0	26.2	0.0	85.47	47.02
ID_3		4		1	1	1904	NZ_LR793256.1	1	HV389_RS09895	WP_175062240.1	+	2174679	2176367	562	-	Coupling protein	Coupling protein	Coupling protein TcpA	CAC67541	562.0	562.0	1.0	562.0	1.0	562.0	95.37	0.0	1081.0	100.0	100.0	Coupling protein	ICE	Tn916	ICESt3	-	-	-	TcpA	-	validated	yes	Coupling protein	TcpA	tcpA	464.0	2.4e-77	2.4e-77	247.0	4.4	247.0	4.4	83.84	70.11
